"number","short_description","priority","cmdb_ci","sys_created_on","description","assigned_to","assignment_group","state","resolved_at","problem_id","category","subcategory","u_issue","caller_id","close_notes","work_notes","contact_type","u_aging","u_aging_category","close_code","u_resolution_code","u_action_code","u_caused_by_change","u_impacted_applications","caused_by","u_actual_elapsed_time","u_applications_impacted","comments"
"INC10000","Database timeout","3 - Moderate","API Gateway","46088.33611111111","Auto generated incident for monitoring/testing dataset","Meena R","Integration Team","Resolved","46088.55625","PRB20000","Access","Validation","Delay","User","Issue resolved after investigation","Logs checked and remediation performed","Web","2.0","0-5 Days","Solution provided","User Correction","Restart service","No","Notification Service","Database","1934.0","No","Auto generated sample comment"
"INC10001","Database timeout","3 - Moderate","Data Pipeline","46092.40902777778","Auto generated incident for monitoring/testing dataset","Arjun K","Data Engineering","Resolved","46092.552083333336","PRB20001","Access","Sync","Failure","Guest","Issue resolved after investigation","Logs checked and remediation performed","Phone","2.0","0-5 Days","Known Error","Re-run Job","Restart service","Yes","Data Pipeline","ETL Job","9354.0","No","Auto generated sample comment"
"INC10002","Email delay","1 - Critical","Customer Portal","46083.31319444445","Auto generated incident for monitoring/testing dataset","Arjun K","Service Desk","Resolved","46083.600694444445","PRB20002","Data","Sync","Timeout","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Web","3.0","0-5 Days","No resolution provided","Resolved by Troubleshooting","Restart service","Yes","Auth Service","Queue","6841.0","No","Auto generated sample comment"
"INC10003","Email delay","1 - Critical","API Gateway","46089.603472222225","Auto generated incident for monitoring/testing dataset","Ajay T","DB Team","Resolved","46089.71875","PRB20003","Database","Authentication","Failure","User","Issue resolved after investigation","Logs checked and remediation performed","Web","0.0","0-5 Days","No resolution provided","Monitoring","Reset password","Yes","Payment Service","User Action","10296.0","No","Auto generated sample comment"
"INC10004","API latency alert","2 - High","Notification Service","46083.23125","Auto generated incident for monitoring/testing dataset","Priya M","Service Desk","Resolved","46083.277083333334","PRB20004","Integration","Validation","Failure","Guest","Issue resolved after investigation","Logs checked and remediation performed","Web","2.0","0-5 Days","Known Error","Monitoring","Restart pipeline","Yes","Data Pipeline","User Action","19130.0","Yes","Auto generated sample comment"
"INC10005","ETL job failure","3 - Moderate","Data Pipeline","46086.78611111111","Auto generated incident for monitoring/testing dataset","Deepa N","DB Team","Resolved","46086.98333333333","PRB20005","Database","Jobs","Error Message","User","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","1.0","0-5 Days","Known Error","Re-run Job","Restart pipeline","Yes","Customer Portal","Database","2555.0","No","Auto generated sample comment"
"INC10006","Database timeout","4 - Low","Auth Service","46087.794444444444","Auto generated incident for monitoring/testing dataset","Meena R","App Support","Resolved","46088.14027777778","PRB20006","Application","Jobs","Crash","Guest","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","2.0","0-5 Days","Solution provided","Re-run Job","Restart service","Yes","Customer DB","ETL Job","16131.0","Yes","Auto generated sample comment"
"INC10007","Database timeout","1 - Critical","Data Pipeline","46091.77361111111","Auto generated incident for monitoring/testing dataset","Ajay T","App Support","Resolved","46091.964583333334","PRB20007","Access","Jobs","Crash","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Email","2.0","0-5 Days","No resolution provided","Resolved by Troubleshooting","Restart pipeline","Yes","Customer DB","User Action","1879.0","Yes","Auto generated sample comment"
"INC10008","Email delay","3 - Moderate","Customer Portal","46095.256944444445","Auto generated incident for monitoring/testing dataset","Arjun K","Data Engineering","Resolved","46095.40555555555","PRB20008","Application","Jobs","Latency","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Phone","0.0","0-5 Days","No resolution provided","Monitoring","Reset password","No","Auth Service","Database","3591.0","Yes","Auto generated sample comment"
"INC10009","Email delay","3 - Moderate","Customer Portal","46090.95","Auto generated incident for monitoring/testing dataset","Priya M","Data Engineering","Resolved","46091.02222222222","PRB20009","Data","Performance","Latency","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Email","1.0","0-5 Days","Known Error","Monitoring","Clear cache","Yes","Data Pipeline","API","18062.0","Yes","Auto generated sample comment"
"INC10010","Batch job failure","1 - Critical","Payment Service","46086.967361111114","Auto generated incident for monitoring/testing dataset","Arjun K","Integration Team","Resolved","46087.28888888889","PRB20010","Data","Validation","Error Message","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Web","3.0","0-5 Days","Known Error","Re-run Job","Re-run job","No","Notification Service","Database","18892.0","Yes","Auto generated sample comment"
"INC10011","API latency alert","2 - High","Customer Portal","46093.802083333336","Auto generated incident for monitoring/testing dataset","Ajay T","DB Team","Resolved","46094.1","PRB20011","Integration","Sync","Error Message","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Web","0.0","0-5 Days","Solution provided","Re-run Job","Restart pipeline","Yes","Data Pipeline","Cache","16750.0","Yes","Auto generated sample comment"
"INC10012","Batch job failure","1 - Critical","Notification Service","46089.70277777778","Auto generated incident for monitoring/testing dataset","Arjun K","Web Team","Resolved","46089.842361111114","PRB20012","Integration","Sync","Crash","User","Issue resolved after investigation","Logs checked and remediation performed","Phone","2.0","0-5 Days","Known Error","Re-run Job","Reset password","Yes","Customer Portal","Database","4908.0","Yes","Auto generated sample comment"
"INC10013","Login issue","1 - Critical","API Gateway","46089.31041666667","Auto generated incident for monitoring/testing dataset","Deepa N","App Support","Resolved","46089.584027777775","PRB20013","Infrastructure","Jobs","Failure","Guest","Issue resolved after investigation","Logs checked and remediation performed","Web","1.0","0-5 Days","Solution provided","User Correction","Restart service","No","Payment Service","User Action","7281.0","No","Auto generated sample comment"
"INC10014","ETL job failure","2 - High","Customer Portal","46093.16875","Auto generated incident for monitoring/testing dataset","Rahul S","SRE Team","Resolved","46093.211805555555","PRB20014","Integration","Authentication","Latency","Monitoring System","Issue resolved after investigation","Logs checked and remediation performed","Phone","2.0","0-5 Days","Known Error","User Correction","Restart service","Yes","Notification Service","User Action","19753.0","No","Auto generated sample comment"
"INC10015","Email delay","3 - Moderate","Customer Portal","46087.285416666666","Auto generated incident for monitoring/testing dataset","Deepa N","SRE Team","Resolved","46087.52361111111","PRB20015","Access","Validation","Latency","User","Issue resolved after investigation","Logs checked and remediation performed","Monitoring","3.0","0-5 Days","Solution provided","Re-run Job","Clear cache","Yes","Data Pipeline","Queue","9216.0","Yes","Auto generated sample comment"
"INC10016","Batch job failure","4 - Low","Notification Service","46087.16388888889","Auto generated incident for monitoring/testing dataset","Karthik P","Data Engineering","Resolved","46087.29305555556","PRB20016","Database","Validation","Crash","PagerDuty","Issue resolved after investigation","Logs checked and remediation performed","Web","1.0","0-5 Days","Known Error","Monitoring","Clear cache","No","Customer DB","Database","8999.0","No","Auto generated sample comment"
"INC10017","UI slow loading","3 - Moderate","API Gateway","46086.24097222222","Auto generated incident for monitoring/testing dataset","Karthik P","DB Team","Resolved","46086.53680555556","PRB20017","Integration","Messaging","Timeout","Guest","Issue resolved after investigation","Logs checked and remediation performed","Web","2.0","0-5 Days","No resolution provided","Resolved by Troubleshooting","Restart service","Yes","Customer DB","ETL Job","3368.0","No","Auto generated sample comment"
